MAE,MAXAE,RMSE,boundary_MAXAE,boundary_loss,boundary_weight,enhance_activation,epochs,final_loss,initial_loss,l2,learning_rate,loss,map_activation,method,n_enhance,n_eval,n_interior,n_map,problem,regularization,residual_RMSE,residual_loss,runtime_sec,seed,timestamp,trainable_parameters
0.0003430332673873293,0.0006040770406591015,0.0003822642608426186,0.0006040770406587227,3.4405099771626115e-07,100.0,tanh,80000,,,1e-06,0.0003,8.334428983074563e-05,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.165419008982598e-07,0.00790117862666095,4.872264815822127e-05,2.1449800999980653,1,2026-05-25T00:56:27,242
0.0011107157768215391,0.0022979879896150093,0.0012525032401815544,0.0022979879896147873,2.7282338468056937e-06,100.0,tanh,0,,,0.0,,0.0009610810133991364,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.026141806326183636,0.0006882576287185671,0.03845900000305846,1,2026-05-25T00:56:27,242
1.4356155271255803e-05,3.638929756144549e-05,1.6945277936887004e-05,9.089751055041395e-07,,100.0,,3000,0.00011101948125581386,49.41801349516219,0.0,0.001,0.00011101948125581386,tanh,PINN,,1000.0,128,,1D Poisson,,0.011671356614668817,,11.394765000004554,1,2026-05-25T00:56:39,8513
5.170283614502996e-06,1.6431994182525278e-05,6.573257499724837e-06,6.492376154113369e-06,3.6889287592421866e-11,100.0,tanh,80000,,,1e-06,0.0003,8.187233576320915e-05,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.2085445300183325e-07,0.01030930428602043,8.164779238144807e-05,2.192114399993443,2,2026-05-25T00:56:41,242
0.0001692317563540332,0.0003323776773136444,0.00019948235670003392,0.00021486173502954786,2.659271105877442e-08,100.0,tanh,0,,,0.0,,0.00015775796729741877,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.01239936771148828,0.00015509869619154134,0.03702450000855606,2,2026-05-25T00:56:41,242
3.383132663735591e-05,0.00012296954346957545,4.72931685377033e-05,4.905763639609373e-06,,100.0,,3000,0.0004562539842735386,49.74722534020512,0.0,0.001,0.0004562539842735386,tanh,PINN,,1000.0,128,,1D Poisson,,0.02361748535015908,,9.607038199988892,2,2026-05-25T00:56:51,8513
3.470735707899521e-05,6.350047727901598e-05,3.8442850560136336e-05,5.7522182512100006e-05,3.1815569319732643e-09,100.0,tanh,80000,,,1e-06,0.0003,8.29586299213891e-05,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.202873713629353e-07,0.010153825355203672,8.242018685682884e-05,2.165109499997925,3,2026-05-25T00:56:53,242
0.00011182438788578217,0.00019554857206682819,0.00012309414634808567,0.00011192015361288776,6.2659665201159825e-09,100.0,tanh,0,,,0.0,,4.215347834955212e-05,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.006416645158513316,4.152688169754052e-05,0.03711609999299981,3,2026-05-25T00:56:53,242
0.0011930168088724075,0.0013512518167381193,0.001197160891339054,0.0012075700440060746,,100.0,,3000,0.00030893771750657283,51.002169409655096,0.0,0.001,0.00030893771750657283,tanh,PINN,,1000.0,128,,1D Poisson,,0.017775955495528437,,9.787186299989116,3,2026-05-25T00:57:03,8513
4.066858021460489e-06,2.234831865058351e-05,6.199145579694017e-06,3.7458315467302217e-07,1.3353029255727226e-13,100.0,tanh,80000,,,1e-06,0.0003,0.00010646986646115162,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.2430372145374937e-07,0.011659766824929687,0.00010624554938666861,2.1388010999944527,4,2026-05-25T00:57:05,242
0.00041709383306843444,0.001088032611098036,0.0005503097124342486,0.0010880326110972588,5.921550898462341e-07,100.0,tanh,0,,,0.0,,0.0015698540597449014,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.038726232106219075,0.001510638550760278,0.03663550000055693,4,2026-05-25T00:57:05,242
2.070701708960312e-05,5.125699542979367e-05,2.501828985545722e-05,4.2474392218661006e-06,,100.0,,3000,0.0001470080506828671,50.1902004330539,0.0,0.001,0.0001470080506828671,tanh,PINN,,1000.0,128,,1D Poisson,,0.013172409481293793,,9.735737700000755,4,2026-05-25T00:57:15,8513
2.8373909057805263e-05,7.45569781530748e-05,3.414646237959908e-05,7.45569781534991e-05,3.0688235689887222e-09,100.0,tanh,80000,,,1e-06,0.0003,4.545467686881518e-05,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.223153508576636e-07,0.007897170151607204,4.4925479161058644e-05,2.1470804999989923,5,2026-05-25T00:57:17,242
0.00015441510183530603,0.0004171697642856853,0.00018677711875077514,0.00041716976428546326,8.843631320693359e-08,100.0,tanh,0,,,0.0,,2.8530105181040946e-05,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.004432333477675977,1.968647386034759e-05,0.03630459999840241,5,2026-05-25T00:57:17,242
3.8934854759114485e-05,9.332544648255059e-05,4.6350085679096943e-05,3.479098407990766e-06,,100.0,,3000,0.00034110632882563814,50.32807372624517,0.0,0.001,0.00034110632882563814,tanh,PINN,,1000.0,128,,1D Poisson,,0.020321633983376688,,9.681640499999048,5,2026-05-25T00:57:26,8513
