MAE,MAXAE,RMSE,boundary_MAXAE,boundary_loss,boundary_weight,enhance_activation,epochs,l2,learning_rate,loss,map_activation,method,n_enhance,n_eval,n_interior,n_map,problem,regularization,residual_RMSE,residual_loss,runtime_sec,seed,timestamp,trainable_parameters
0.0003430332673873293,0.0006040770406591015,0.0003822642608426186,0.0006040770406587227,3.4405099771626115e-07,100.0,tanh,80000,1e-06,0.0003,8.334428983074563e-05,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.165419008982598e-07,0.00790117862666095,4.872264815822127e-05,2.1518863000092097,1,2026-05-25T00:56:05,242
0.0011107157768215391,0.0022979879896150093,0.0012525032401815544,0.0022979879896147873,2.7282338468056937e-06,100.0,tanh,0,0.0,,0.0009610810133991364,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.026141806326183636,0.0006882576287185671,0.036753499996848404,1,2026-05-25T00:56:05,242
5.170283614502996e-06,1.6431994182525278e-05,6.573257499724837e-06,6.492376154113369e-06,3.6889287592421866e-11,100.0,tanh,80000,1e-06,0.0003,8.187233576320915e-05,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.2085445300183325e-07,0.01030930428602043,8.164779238144807e-05,2.134473700003582,2,2026-05-25T00:56:07,242
0.0001692317563540332,0.0003323776773136444,0.00019948235670003392,0.00021486173502954786,2.659271105877442e-08,100.0,tanh,0,0.0,,0.00015775796729741877,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.01239936771148828,0.00015509869619154134,0.03750920000311453,2,2026-05-25T00:56:07,242
3.470735707899521e-05,6.350047727901598e-05,3.8442850560136336e-05,5.7522182512100006e-05,3.1815569319732643e-09,100.0,tanh,80000,1e-06,0.0003,8.29586299213891e-05,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.202873713629353e-07,0.010153825355203672,8.242018685682884e-05,2.0856794999999693,3,2026-05-25T00:56:09,242
0.00011182438788578217,0.00019554857206682819,0.00012309414634808567,0.00011192015361288776,6.2659665201159825e-09,100.0,tanh,0,0.0,,4.215347834955212e-05,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.006416645158513316,4.152688169754052e-05,0.03776790000847541,3,2026-05-25T00:56:09,242
4.066858021460489e-06,2.234831865058351e-05,6.199145579694017e-06,3.7458315467302217e-07,1.3353029255727226e-13,100.0,tanh,80000,1e-06,0.0003,0.00010646986646115162,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.2430372145374937e-07,0.011659766824929687,0.00010624554938666861,2.1668038999923738,4,2026-05-25T00:56:12,242
0.00041709383306843444,0.001088032611098036,0.0005503097124342486,0.0010880326110972588,5.921550898462341e-07,100.0,tanh,0,0.0,,0.0015698540597449014,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.038726232106219075,0.001510638550760278,0.0371028999943519,4,2026-05-25T00:56:12,242
2.8373909057805263e-05,7.45569781530748e-05,3.414646237959908e-05,7.45569781534991e-05,3.0688235689887222e-09,100.0,tanh,80000,1e-06,0.0003,4.545467686881518e-05,tanh,SAGD-BLS-PDE,120,1000.0,128,120,1D Poisson,2.223153508576636e-07,0.007897170151607204,4.4925479161058644e-05,2.1304366999975173,5,2026-05-25T00:56:14,242
0.00015441510183530603,0.0004171697642856853,0.00018677711875077514,0.00041716976428546326,8.843631320693359e-08,100.0,tanh,0,0.0,,2.8530105181040946e-05,tanh,PIBLS-pinv,120,1000.0,128,120,1D Poisson,0.0,0.004432333477675977,1.968647386034759e-05,0.04040800000075251,5,2026-05-25T00:56:14,242
